,Extroversion (E-Score),Openness (O-Score),Agreeableness (A-Score),Conscientiousness (C-Score),Impulsiveness (BIS-11),Sensation (SS),Age_18-24,Age_25-34,Age_35-44,Age_45-54,Age_55-64,Age_65+,Gender_F,Gender_M,Alcohol_Frequent,Amphetamines_Frequent,Amyl_Frequent,Benzos_Frequent,Caffeine_Frequent,Chocolate_Frequent,Cocaine_Frequent,Crack_Frequent,Ecstasy_Frequent,Heroin_Frequent,Ketamine_Frequent,Legal_Highs_Frequent,LSD_Frequent,Methamphetamine_Frequent,Magic_Mushrooms_Frequent,Nicotine_Frequent,Semer_Frequent,Inhalants_Frequent,Neuroticism (N-Score)
Extroversion (E-Score),1.0,0.2504694608307497,0.14585478313807784,0.3136963606864863,0.1206159094498249,0.21236357408362974,0.021908905889921466,0.022391412444506584,-0.042861578218807456,0.007569041090715067,-0.01165509710024025,-0.036961531572907755,0.052314891046366475,-0.05231489104636642,0.1302666844094853,-0.03477266446191371,-0.0022445405723163464,-0.0799348042879258,0.058777113107765365,0.020292377096390368,0.04300477245456215,-0.037935411488963226,0.09337098937612026,-0.0720376465735785,-0.0058635838272886615,-0.0270767977379849,0.05179272579487406,-0.10047888361836323,0.01958114598114411,0.004177326348317088,0.01579698742356779,0.02692561384866007,-0.416182156812902
Openness (O-Score),0.2504694608307497,1.0,0.039933229881823594,-0.04720793578323494,0.2665316463526456,0.42279891245177986,0.23073948920979076,-0.021025421749994763,-0.12931300225497364,-0.09502757159583855,-0.03797913370575402,-0.07102546355541875,-0.13742776183611147,0.13742776183611125,0.04850997350065491,0.11154294584762156,0.007035291406006589,0.1165291544163403,0.04429416486318922,0.02048864055956622,0.07740788748427013,0.008981285961510483,0.16929782263520457,0.043198494795286084,0.09919185241953402,0.16819043396845743,0.2273682066625385,0.09260062187212952,0.2115211889800808,0.17480528630681194,0.007749609978651373,0.0648468691358377,0.036813606440532345
Agreeableness (A-Score),0.14585478313807784,0.039933229881823594,1.0,0.23706289732867158,-0.22101212303318837,-0.20687804825731415,-0.07494388478913326,0.01050223101373142,0.007554239055829856,0.07643780290445938,0.00018957277529042576,0.002260258989910003,0.1975330344256308,-0.19753303442563075,0.02916758179959439,-0.12186500691567591,-0.055094939783951094,-0.13702108771466548,0.002842621354088793,0.006530993059496694,-0.13193647268019196,-0.0569786991565279,-0.09196724598424653,-0.1702977541623578,-0.049771827970847365,-0.10701767907624449,-0.03225018879739237,-0.12150570710500351,-0.035571722146218336,-0.08340667990066886,0.0358411342746984,-0.03463094913010939,-0.194682501765322
Conscientiousness (C-Score),0.3136963606864863,-0.04720793578323494,0.23706289732867158,1.0,-0.3448052443941328,-0.22589114949858508,-0.19116305366962086,0.04362581346653379,0.06271309905156079,0.09650744697906606,0.029928469422042712,0.057228611952220135,0.18020154914080308,-0.18020154914080283,0.03400955446721241,-0.1851739796653159,-0.03667592803327525,-0.14780407919922783,-0.017056222226358497,-0.020199845916679247,-0.08206941239205962,-0.05039902312907513,-0.09808159240966137,-0.11259738768887492,-0.10421652078660924,-0.17645782020824965,-0.08215992007223567,-0.13781223554373123,-0.09094998601235131,-0.21010199508756067,0.038007781469834995,-0.03328010431320404,-0.3933079393510611
Impulsiveness (BIS-11),0.1206159094498249,0.2665316463526456,-0.22101212303318837,-0.3448052443941328,1.0,0.6198126718883308,0.1927160470834663,-0.017818093184666622,-0.08818579946007118,-0.11055025443139142,-0.02130853818279037,-0.04477777236553185,-0.1641375530628197,0.16413755306281946,0.013348992842402608,0.21197565158857015,0.06203810650846574,0.1764053706658104,0.08252730129927115,-0.014293855635694425,0.13925110856848952,0.06100769418133393,0.13122505537217796,0.12040439524941043,0.07084981626740432,0.1611046660492742,0.10425218842535826,0.12289536305514756,0.10954961045437268,0.23048253341336444,-0.030421682640519563,0.08040839839085134,0.19014607474764383
Sensation (SS),0.21236357408362974,0.42279891245177986,-0.20687804825731415,-0.22589114949858508,0.6198126718883308,1.0,0.3069449619341366,0.004641688261933535,-0.1456226167211708,-0.16643766666775509,-0.0946383906961783,-0.09934290204963045,-0.2531631039326951,0.2531631039326949,0.07385047653855871,0.20414129754655796,0.10929146526251585,0.1892606269300561,0.07615828803089934,0.0066283891320213645,0.19674387381033231,0.07257534483182558,0.215148408894843,0.12414391147083538,0.10380790787434213,0.2315271464786386,0.20202220498493817,0.1487663746281167,0.18753838583609703,0.2680719488707266,-0.0047923177307904125,0.11672072581631736,0.09562982891831728
Age_18-24,0.021908905889921466,0.23073948920979076,-0.07494388478913326,-0.19116305366962086,0.1927160470834663,0.3069449619341366,1.0,-0.4211469626151862,-0.3471889902992121,-0.30930238151513817,-0.16391441955870903,-0.07064944949034484,-0.18873089700908932,0.1887308970090892,0.034968955317516676,0.1678296368395809,0.05380944116444098,0.09803958194526012,0.010385956917542254,-0.001152293965184726,0.14802513248238222,0.012862703955935988,0.23879506095485598,0.1213124986089679,0.14548343417981371,0.23722848217856304,0.26604327994195937,0.10390977752656046,0.220501866949859,0.2165813528409237,0.03201952332095373,0.10427937078932986,0.10423269824815562
Age_25-34,0.022391412444506584,-0.021025421749994763,0.01050223101373142,0.04362581346653379,-0.017818093184666622,0.004641688261933535,-0.4211469626151862,1.0,-0.2824296192654592,-0.25160980414135603,-0.13334030859730808,-0.05747157219379599,0.1305155369329209,-0.13051553693292095,0.019847046089315905,-0.0026782915269226194,0.02951428309424472,0.035652648008792906,0.004348595435085451,-0.004025434026687001,0.023765285431663487,-0.013105476830697774,-0.004531804781740659,-0.02594224107986775,0.005109456102118948,-0.030962679701375933,-0.04018603198006067,0.039681087523460085,-0.03753526021798941,-0.007993116749745592,-0.013484924991005794,0.002963756027727362,0.038331110855018655
Age_35-44,-0.042861578218807456,-0.12931300225497364,0.007554239055829856,0.06271309905156079,-0.08818579946007118,-0.1456226167211708,-0.3471889902992121,-0.2824296192654592,1.0,-0.2074243948163997,-0.10992430485693712,-0.04737894106363165,0.06531575728431602,-0.06531575728431584,-0.010368796071164102,-0.10181048110791215,-0.03478223169348719,-0.07594362468326132,0.01577206443975197,-0.013992738550683373,-0.07329655195369074,0.042634691485318836,-0.11518164511017874,-0.0328758868022641,-0.08062738674978201,-0.11168493251524762,-0.1308152847714189,-0.06746244853506622,-0.09280504154848165,-0.0713477233222582,-0.011116825971664057,-0.05521244626094486,-0.015269983562277023
Age_45-54,0.007569041090715067,-0.09502757159583855,0.07643780290445938,0.09650744697906606,-0.11055025443139142,-0.16643766666775509,-0.30930238151513817,-0.25160980414135603,-0.2074243948163997,1.0,-0.09792893849930304,-0.04220876731147843,0.03239530242451721,-0.032395302424516936,-0.022618475488772737,-0.053356231545001846,-0.04405132221877459,-0.058572369197677145,-0.01865978967522164,0.035662430029502055,-0.10416589725180811,-0.030245001662550848,-0.12033091268405377,-0.06427114415130719,-0.07531342250867669,-0.10766441514594703,-0.10778639478127418,-0.08486903168009756,-0.09890471142292707,-0.1450436292322815,-0.009903714818150486,-0.058260582776100016,-0.0986691065858569
