Neuroticism (N-Score),Extroversion (E-Score),Openness (O-Score),Agreeableness (A-Score),Conscientiousness (C-Score),Impulsiveness (BIS-11),Sensation (SS),Alcohol,Amphetamines,Amyl nitrites,Benzos,Caffeine,Chocolate,Cocaine,Crack,Ecstasy,Heroin,Ketamine,Legal Highs,LSD,Methamphetamine,Magic Mushrooms,Nicotine,Semer,Inhalants/Volatiles,Age_18-24,Age_25-34,Age_35-44,Age_45-54,Age_55-64,Age_65+,Gender_F,Gender_M,Country_Australia,Country_Canada,Country_Ireland,Country_New Zealand,Country_Other,Country_UK,Country_USA,Ethnicity_Black-Asian,Ethnicity_Asian,Ethnicity_Black,Ethnicity_Other,Ethnicity_White,Ethnicity_White-Asian,Ethnicity_White-Black,Education_level,Alcohol_Frequent,Amphetamines_Frequent,Amyl_Frequent,Benzos_Frequent,Caffeine_Frequent,Chocolate_Frequent,Cocaine_Frequent,Crack_Frequent,Ecstasy_Frequent,Heroin_Frequent,Ketamine_Frequent,Legal_Highs_Frequent,LSD_Frequent,Methamphetamine_Frequent,Magic _Mushrooms_Frequent,Nicotine_Frequent,Semer_Frequent,Inhalants_Frequent,Ketamine_Frequent,Legal_Highs_Frequent,LSD_Frequent,Methamphetamine_Frequent,Magic _Mushrooms_Frequent,Nicotine_Frequent,Semer_Frequent,Inhalants_Frequent
0.5625,0.625706114,0.5,0.735632184,0.595238095,0.333333333,0.2,0.833333333,0.333333333,0,0.333333333,1,0.833333333,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.478443743,0.886084469,0.915966387,0.862068966,0.691805952,0.222222222,0.5,0.833333333,0.333333333,0.333333333,0,1,1,0.5,0,0.666666667,0,0.333333333,0,0.333333333,0.5,0,0.666666667,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.512781556,0.772168939,0.663865546,0.67816092,0.571952711,0.111111111,0.7,1,0,0,0,1,0.666666667,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.563183464,0.593158819,0.764705882,0.850574713,0.777504117,0.111111111,0.2,0.666666667,0,0,0.5,0.833333333,0.666666667,0.333333333,0,0,0,0.333333333,0,0,0,0,0.333333333,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.650891086,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.714389188,0.495516936,0.714285714,0.781609195,0.845964388,0.333333333,0.5,0.666666667,0.166666667,0.166666667,0,1,1,0,0,0.166666667,0,0,0.166666667,0,0,0.333333333,0.333333333,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.650891086,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.479180284,0.658253408,0.579831933,0.942528736,0.880194524,0.111111111,0.1,0.333333333,0,0,0,1,0.666666667,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.650891086,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.512781556,0.560611525,0.714285714,0.781609195,0.811734252,0.333333333,0.6,1,0,0,0,1,0.833333333,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.395177104,0.886084469,0.663865546,0.781609195,0.880194524,0.444444444,0.4,0.833333333,0,0,0,1,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.698011014,0.934905411,0.647058824,0.862068966,0.82884932,0.111111111,0.1,0.666666667,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.650891086,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.547016522,0.690800703,0.596638655,0.850574713,0.726158913,0.111111111,0.3,1,0.166666667,0,0.166666667,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
