,Actual,Predicted
0,0,1
1,0,1
2,1,1
3,0,0
4,0,0
5,0,0
6,1,0
7,0,1
8,0,1
9,1,0
10,0,0
11,1,0
12,1,1
13,1,1
14,0,0
15,1,1
16,1,1
17,1,1
18,0,0
19,1,1
20,0,0
21,0,0
22,0,1
23,1,1
24,1,0
25,1,0
26,0,0
27,0,0
28,0,0
29,0,1
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,1,0
39,1,1
40,0,0
41,0,1
42,1,1
43,1,0
44,1,1
45,0,0
46,0,0
47,0,0
48,0,1
49,0,0
50,0,0
51,0,1
52,0,0
53,1,1
54,0,1
55,0,0
56,0,0
57,1,0
58,0,0
59,0,0
60,1,1
61,1,1
62,0,0
63,0,1
64,0,0
65,0,1
66,1,1
67,1,1
68,1,1
69,0,0
70,0,0
71,0,0
72,0,0
73,0,1
74,1,1
75,0,1
76,0,1
77,1,1
78,0,1
79,1,1
80,1,1
81,0,0
82,1,1
83,0,0
84,0,1
85,1,1
86,0,1
87,1,1
88,0,1
89,1,1
90,0,1
91,1,1
92,1,1
93,0,1
94,1,1
95,0,1
96,1,1
97,1,0
98,1,1
99,0,1
100,0,0
101,1,1
102,1,1
103,0,0
104,1,1
105,1,1
106,1,1
107,1,1
108,1,1
109,1,1
110,0,1
111,0,0
112,0,1
113,1,1
114,1,1
115,1,1
116,0,1
117,0,1
118,0,1
119,1,1
120,0,0
121,1,1
122,0,1
123,0,1
124,0,1
125,1,1
126,0,1
127,1,0
128,0,0
129,1,1
130,0,1
131,1,0
132,0,1
133,0,1
134,0,1
135,0,1
136,0,1
137,0,1
138,1,1
139,1,0
140,0,1
141,0,1
142,1,0
143,0,1
144,0,1
145,0,0
146,0,1
147,0,1
148,1,1
149,1,1
150,1,1
151,0,1
152,0,0
153,1,1
154,0,1
155,1,0
156,0,1
157,0,0
158,1,1
159,1,1
160,1,1
161,1,0
162,0,1
163,1,1
164,1,1
165,1,0
166,1,1
167,0,1
168,1,1
169,1,1
170,0,1
171,1,1
172,0,1
173,1,1
174,1,1
175,0,0
176,1,1
177,1,1
178,1,1
179,1,1
180,1,1
181,1,1
182,1,1
183,1,1
184,1,1
185,1,0
186,1,1
187,0,1
188,1,1
189,0,1
190,1,1
191,0,1
192,1,1
193,0,1
194,1,1
195,0,1
196,1,1
197,1,1
198,1,1
199,1,1
